date,username,fulltext
2022-03-08 11:18:28,euphormee,"Asli deh, masa nunggu dokternya lama bgttt. Kek, kan jamnya tu jam 15-17 gt si drnya. Trus w udh daftar via tlp, dapet no. urut 2. Trus w dateng jam 4 kan ya, soalnya solat dlu, baru beres kelas juga. Trus pas awal ke susternya tuh, dia bilang gini ""ditunggu ya dr nya masih-"
2022-03-08 11:16:45,collegemenfess,"[cm] kalo absen sakit ada surat dokternya, cukup bilang ke pj aja atau harus chat dosennya juga? Kalo chat kata2nya gimana😭 thank youuuuu"
2022-03-08 11:15:04,user094857,nganterin kakek ke rs kenapa malah gw yang diliatin ama dokternya 🙂
2022-03-08 11:12:41,cokoretocodisco,"@yourpetsfess Klo kucingku sekitar 3 hari ada efek buat bikin pupnya jadi padat dari yg sebelumnya bentuk bubur+air gitu. Kuncinya harus sabar, bantu suap makan klo dia ga mau makan sendiri, obat dari dokternya rutin diberikan."
2022-03-08 11:09:17,intanwdys,"Pas kontrol, dokternya jelasin hahah tapi gue ga paham maksudnya ibu dokter. Gue nyeletuk ""iya dok gigi saya panjang2"" Dokternya bilang : ""gigi kamu ga salah loh udah normal itu, tapi gusi kamu yang terlalu bawah jadi terlihat giginya yg panjang""."
2022-03-08 11:01:43,jai_behind,"@PakTuaNgantuk @Mentimoen Waktu kompetisi militer di Wuhan 2019 itu ada 5 pasukan Amerika yg masuk RS. Setelah dirawat, mereka dijemput pulang ke Amerika. Krn waktu itu China belum tau soal Covid, dokternya bilang 5 atlet militer Amerika ini sakit malaria"
2022-03-08 10:58:38,magickimtae,"Pgn mieeeee, tp kata dokternya g bole😠"
2022-03-08 10:57:39,403getaway,"aku, 21 tahun, ke dokter masi dianterin mama dan mama yg ngobrol sama dokternya :)"
2022-03-08 10:54:47,vinaastdy,@aurizan_habib struggle bgt klo udh bahas biokim kek rasanya dokternya tuh pinteeeerrr banget sampe aku ga mudeng apa yg beliau bahas 😭😭
2022-03-08 10:52:50,ksepjeon,@ZOO_FESS Meng ku pernah kaya gini langsung dikasih berbagai macam obat tetes mata.. ada dr merek c3ndr0 cendrid ( ak dr dokternya langsung ) buat virus herpes nya
2022-03-08 10:51:37,pickachwu,@missufe dokternya spesialis bakso
2022-03-08 10:51:05,yourkwanim,"RT @kochengfess: ⚠️⚠️LUKA⚠️⚠️
Kondisi Amoy setelah bersihin abses di punggung, lukanya ga bisa dijahit kata dokternya jadi hanya ditutup pe…"
2022-03-08 10:50:31,ditoks,"@kalluto_oo Aku jg awalnya takut bgtt, tp kata dokternya kl gak ditindak amit2 bisa lumpuh… Iya aamiin makasih yaa 😄"
2022-03-08 10:50:00,kochengfess,"⚠️⚠️LUKA⚠️⚠️
Kondisi Amoy setelah bersihin abses di punggung, lukanya ga bisa dijahit kata dokternya jadi hanya ditutup perban dan disiram cairan terus pokonya dipastikan perbannya lembab 🐈‍⬛
Doakan Amoy lekas pulih ya kak https://t.co/HZzzrf1BOC"
2022-03-08 10:43:29,cerita_arsetty,"ini lagi PSA, terus kata dokternya minggu besok dicabut terus kalo gamau keliatan ompong ya harus dibehel… wow sy shock sekali klo tbtb berbehel🥲 https://t.co/PWBBOytJKo"
2022-03-08 10:42:59,anisarahmaliaa,Ya elah w udh nunggu 40 menitan tp dokternya kagak dateng2
2022-03-08 10:41:52,wtrmlnfloats,@lelekucing mu dr dokternya yg dulu perawatan jerawat itu yh!?
2022-03-08 10:22:44,winchocolatae,@cimoya_ siapa dokternya
2022-03-08 10:19:19,bigkittenergy,dokternya junjinjoy nyaman gkkk y sm ak dan junjinjoy
2022-03-08 10:12:54,warmplaceu,update dari dokternya https://t.co/AilxOur15h
2022-03-08 10:11:33,blablablauwwuwu,@sidengki Harusnya dokternya yg ngangguk spy km yg ngomong
2022-03-08 10:08:36,localkidz,"@Askrlfess loooh gpp ga harus malu:(( aku jugak dulu sebelum behel gigiku jelekkk bgt, kuning2, karang gigi banyak tp gapapa nder malah dokternya ngasih saran harus gimana gimananya 👍👍"
2022-03-08 10:07:40,nyawz_,"@Askrlfess gapapa ndeer, dokternya pasti udah terbiasa koook"
2022-03-08 09:56:17,ainrukaf,Mau ganti karet dokternya full janji ah bt
2022-03-08 09:56:02,justcallmehany,"@aizvmnx Kakinya ada yg luka gatau karena apa soalnya kalo siang aku kerja balik malem 😭😭 karena aku blm ada uang pas luka aku obatin sendiri tapi gabisa, ngamuk, aku dicakar collarnya dibuang. 

Tadi baru dibawa ke vet, kata dokternya udh infeksi, jadi tadi disuntik 2x ngamook"
2022-03-08 09:46:31,rfkdya,"RT @dian_inidian: Di trailer kan dokternya bilang ke Al kalo kondisi Andin udah stabil. Harusnya, harusnya nih kl udah blg stabil gt Andinn…"
